index,title,zipCode,neighborhood,councilDistrict,policeDistrict,Location
1,BECKER'S TAVERN,21224,Baltimore Highlands,Paul Krekorian,SOUTHEASTERN,"3820 PRATT ST
Baltimore, MD"
2,BEDROCK,21201,Downtown,New York City ,CENTRAL,"401 BALTIMORE ST
Baltimore, MD"
3,BEDROCK (KITCHEN AREA),21201,Downtown,New York City ,CENTRAL,"401 BALTIMORE ST
Baltimore, MD"
4,BELAIR PUB,21206,Glenham-Belford,Paul Krekorian,NORTHEASTERN,"5860 BELAIR RD
Baltimore, MD"
5,BELT STREET PUB,21230,Riverside,Los Angeles City,SOUTHERN,"1747 BELT ST
Baltimore, MD"
6,BELVEDERE TOWERS CAF?�,21210,Roland Park,Melissa Cabello Havrda,NORTHERN,"1190 NORTHERN PKWY
Baltimore, MD"
7,"BERGER'S TAVERN, INCORPORATED",21206,Waltherson,Paul Krekorian,NORTHEASTERN,"5523 BELAIR RD
Baltimore, MD"
8,BERMUDA BAR,21213,Broadway East,Los Angeles City,EASTERN,"1801 NORTH AVE
Baltimore, MD"
9,BERTHA'S RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"734 BROADWAY
Baltimore, MD"
10,BERT'S EATS & DRINKS (3103-05),21218,Charles Village,14,NORTHERN,"3105 ST PAUL ST
Baltimore, MD"
11,BEST WESTERN TRAVEL PLAZA,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"5625 O DONNELL ST
Baltimore, MD"
12,BIG APPLE TREE CAF?�,21202,Downtown,11,CENTRAL,"300 BALTIMORE ST
Baltimore, MD"
13,BIG BAD WOLF'S HOUSE OF BARBEQUE,21214,Harford-Echodale/Perring Parkway,3,NORTHEASTERN,"5713 HARFORD RD
Baltimore, MD"
14,BIG KAHUNA CANTINA,21202,Inner Harbor,11,CENTRAL,"301 LIGHT ST
Baltimore, MD"
15,BIG TEE'S BAR & GRILL,21224,Greektown,2,SOUTHEASTERN,"300 OLDHAM ST
Baltimore, MD"
16,BILL'S 60'S & 70'S CLUB,21223,Hollins Market,9,SOUTHERN,"1000 LOMBARD ST
Baltimore, MD"
17,BILL'S CAFE,21222,Graceland Park,1,SOUTHEASTERN,"6701 HOLABIRD AVE
Baltimore, MD"
18,BILL'S LIGHTHOUSE INN,21230,Riverside,10,SOUTHERN,"1741 LIGHT ST
Baltimore, MD"
19,BILTMORE SUITES HOTEL,21201,Mount Vernon,11,CENTRAL,"205 MADISON ST
Baltimore, MD"
20,BIRCHES RESTAURANT,21224,Canton,1,SOUTHEASTERN,"641 MONTFORD AVE
Baltimore, MD"
21,BIRDS OF A FEATHER,21231,Fells Point,1,SOUTHEASTERN,"1712 ALICEANNA ST
Baltimore, MD"
22,"BLACKTIE SERVICE, LLP",21215,Seton Business Park,5,NORTHWESTERN,"4700 MT HOPE DR
Baltimore, MD"
23,BLACKTIE SERVICES,21211,Woodberry,7,NORTHERN,"3725 MALDEN AVE
Baltimore, MD"
24,BLARNEY STONE INN,21225,Brooklyn,10,SOUTHERN,"3915 HANOVER ST
Baltimore, MD"
25,BLARNEY STONE PUB,21231,Fells Point,1,SOUTHEASTERN,"704 BROADWAY
Baltimore, MD"
26,BLEACHERS,21224,Canton,1,SOUTHEASTERN,"2501 FLEET ST
Baltimore, MD"
27,ALLEN RESTAURANT,21206,Waltherson,2,NORTHEASTERN,"5621 BELAIR RD
Baltimore, MD"
28,ALOHA TOKYO,21230,Locust Point Industrial Area,10,SOUTHERN,"1120 FORT AVE
Baltimore, MD"
29,ALONSO'S RESTAURANT & COCKTAIL LOUNGE,21210,Evergreen,6,NORTHERN,"415 COLD SPRING LN
Baltimore, MD"
30,AMBASSADOR DINNING ROOM,21218,Tuscany-Canterbury,14,NORTHERN,"3811 CANTERBURY RD
Baltimore, MD"
31,AMBROSIA'S,21230,Cherry Hill,10,SOUTHERN,"1810 CHERRY HILL RD
Baltimore, MD"
32,AMERICAN FOOD SERVICE,21223,Hollins Market,9,SOUTHERN,"901 PRATT ST
Baltimore, MD"
33,AMERICAN LEGION FEDERAL POST #19,21217,Madison Park,11,CENTRAL,"1502 MADISON AVE
Baltimore, MD"
34,AMERICAN LEGION POST #187,21226,Curtis Bay,10,SOUTHERN,"1527 CHERRY ST
Baltimore, MD"
35,AMERICAN LEIGON FORT MCHENRY POST #133,21230,Riverside,10,SOUTHERN,"506 FORT AVE
Baltimore, MD"
36,AMIGO'S BAR,21224,Highlandtown,2,SOUTHEASTERN,"400 EATON ST
Baltimore, MD"
37,ANGELINA'S,21234,North Harford Road,3,NORTHEASTERN,"7135 HARFORD RD
Baltimore, MD"
38,ANGELO'S RESTAURANT & CARRYOUT,21211,Wyman Park,7,NORTHERN,"3600 KESWICK RD
Baltimore, MD"
39,ANGELS ROCK BAR,21202,Downtown,11,CENTRAL,"10 MARKET PLACE
Baltimore, MD"
40,ANGLE INN,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"5805 O Donnell ST
Baltimore, MD"
41,ANNABEL LEE TAVERN,21224,Canton,1,SOUTHEASTERN,"601 CLINTON ST
Baltimore, MD"
42,ANNS AT LEXINGTON PLACE,21201,Seton Hill,11,CENTRAL,"631 LEXINGTON ST
Baltimore, MD"
43,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,21215,Fallstaff,5,NORTHWESTERN,"6798 REISTERSTOWN RD
Baltimore, MD"
44,aramark at citi bank baltimore,21202,Downtown,11,CENTRAL,"300 st paul pl
Baltimore, MD"
45,ARAMARK FHC SPORTS  (MAIN KITCHEN),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
46,ARAMARK FHC SPORTS (BAR 200-201),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
47,ARAMARK FHC SPORTS (BAR 210),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
48,ARAMARK FHC SPORTS (BAR 217),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
49,ARAMARK FHC SPORTS (BAR 221),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
50,ARAMARK FHC SPORTS (BAR 232),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
51,ARAMARK FHC SPORTS (BAR 236),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
52,ARAMARK FHC SPORTS (BAR 244),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
53,ARAMARK FHC SPORTS (BAR 252-253),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD"
54,ARAMARK/PNC,21201,Downtown,11,CENTRAL,"Hopkins Pl
Baltimore, MD"
55,ARA-MONUMENTAL LIFE INSURANCE COMPANY,21202,Mid-Town Belvedere,12,CENTRAL,"2 CHASE ST
Baltimore, MD"
56,ARCH SOCIAL CLUB,21217,Penn North,7,CENTRAL,"2426 PENNSYLVANIA
Baltimore, MD"
57,ARCOS,21231,Washington Hill,1,SOUTHEASTERN,"129 BROADWAY
Baltimore, MD"
58,ARIZONA BAR & GRILL,21231,Washington Hill,1,SOUTHEASTERN,"25 BROADWAY
Baltimore, MD"
59,ASAHI SUSHI,21231,Fells Point,1,SOUTHEASTERN,"629 BROADWAY
Baltimore, MD"
60,asian taste,21211,Hampden,14,NORTHERN,"916 36th st
Baltimore, MD"
61,ATWATER'S,21212,Chinquapin Park-Belvedere,4,NORTHERN,"529 BELVEDERE AVE
Baltimore, MD"
