id,city,title,location,index
21,Kathmandu,Syanko,Shankhamul,14
22,Kathmandu,Syanko,Shinamangal,15
23,Bhaktapur,Syanko,Pepsicola,16
24,Kathmandu,Syanko,Bagbazar,17
25,Kathmandu,Syanko,Thamel,18
26,Kathmandu,Syanko,Budalinkantha,19
27,Kathmandu,Syanko,Tinkune,20
28,Banepa,Syanko,Banepa,21
29,Bhaktapur,Syanko,Suryabinayak,22
30,Lalitpur,Syanko,Jawalakhel,23
31,Kathmandu,Burger House,Shankhamul,24
32,Kathmandu,Burger House,Tinkune,25
33,Bhaktapur,Burger House,Gathaghar,26
34,Bhaktapur,Burger House,Thimi,27
35,Kathmandu,Burger House,Swayambu,28
36,Kathmandu,Burger House,Shinamangal,29
37,Kathmandu,Burger House,Boudha,30
38,Kathmandu,Burger House,Kuleshwor,31
39,Kathmandu,Chicken Station,Baneshwor,32
40,Bhaktapur,Chicken Station,Pepsicola,33
41,Bhaktapur,Chicken Station,Thimi,34
42,Lalitpur,Chicken Station,Jhamsikhel,35
43,Kathmandu,Chicken Station,Shinamangal,36
44,Kathmandu,Chicken Station,Thamel,37
45,Kathmandu,Pepe Pizza,Balaju,38
46,Bhaktapur,Pepe Pizza,Thimi,39
47,Kathmandu,Pepe Pizza,Bhatbhatini,40
48,Kathmandu,Pepe Pizza,Boudha,41
49,Lalitpur,KKFC,Kumaripati,42
50,Kathmandu,KKFC,Maitidevi,43
51,Kathmandu,KKFC,Khichapokhari,44
52,Kathmandu,KFC,Durbarmarg,45
53,Lalitpur,KFC,Pulchowk,46
54,Bhaktapur,KFC,Thimi,47
55,Kathmandu,KFC,Boudha,48
56,Bhaktapur,Pizza Hut,Thimi,49
57,Lalitpur,Pizza Hut,Thapathali,50
58,Kathmandu,Pizza Hut,Durbarmarg,51
59,Lalitpur,KFC,Thapathali,52
60,Lalitpur,Cafe Cofee Day,Kumaripati,53
61,Kathmandu,Gossip Cafe & Bar,Durbarmarg,54
62,Lalitpur,Sams Deli,Jhamsikhel,55
63,Lalitpur,Mr Gimbab,Jhamsikhel,56
64,Kathmandu,Picnic,Thamel,57
65,Kathmandu,Hankook Sarang,Thamel,58
66,Kathmandu,Chicken Station,Naxal,59
67,Kathmandu,Chicken Station,Sitapaila,60
68,Kathmandu,Chicken Station,Chhetrapati,61
69,Kathmandu,Chicken Station,Sundhara,62
0,Kathmandu,Burger House,New Baneshwor,1
1,Lalitpur,Syanko,Kupondole,13
2,Kathmandu,Burger House,Koteshowor,2
3,Kathmandu,Local Sekuwa,Old Baneshwor,3
4,Lalitpur,Bota Mo:Mo,Jhamsikhel,63
6,Kathmandu,Sekuwa Corner,BabarMahal,4
8,Lalitpur,Pepe Pizza,Satdobato,5
10,Kathmandu,Pepe Pizza,AnamNagar,6
14,Lalitpur,Pizza World,Kumaripati,7
15,Lalitpur,Bake N Bite,Kumaripati,8
16,Kirtipur,Sasa,Kirtipur,9
18,Kathmandu,KKFC ,Old Baneshwor,10
19,Kirtipur,Newa Lahana,Kirtipur,11
20,Kathmadu,Syanko,Koteshwor,12
